Licensee Name,DBA,License Number,License Type,Street Address,City,State,Zip,Latitude,Longitude
PRETTY NEAT,PRETTY NEAT,03-20305,Tavern (city,114 SOUTH BROADWAY,Denver,CO,80209,39.71437402,-104.987193032
MOD'S THAI HOUSE,MOD'S THAI HOUSE,03-10266,Beer & Wine (city,132 MIDLAND,Basalt,CO,81621,39.36922698,-107.034080022
SNOW CLOUD LOUNGE LTD.,SNOW CLOUD LOUNGE LTD.,03-19546,Tavern (county,48371 QUAKIE STREET,Mesa,CO,81643,39.06934998,-108.149385028
TEXAS ROADHOUSE OFPARKER LLC,TEXAS ROADHOUSE,14-50340-0000,Hotel & Restaurant (city,11205 PARKER ROAD,Parker,CO,80134,39.511575,-104.767582978
TACOS LA JUNTA,TACOS LA JUNTA,03-19337,Takeout & Delivery Permit,375 FEDERAL BOULEVARD,Denver,CO,80219,39.72256699,-105.025518027
Root Down DIA,ROOT DOWN DIA,03-00817,Takeout & Delivery Permit,9100 PENA BLVD  T1-R65-S21,Denver,CO,80249,39.86301999,-104.673664004
GRUMPY'S SALOON INC,LARIAT SALOON,03-00201,Tavern (city,1121 GRAND AVE,Grand Lake,CO,80447,40.25146902,-105.817260028
NO 38 TENANT LLC,NUMBER 38,03-13187,Hotel & Restaurant (city,3560 CHESTNUT PLACE,Denver,CO,80216,39.77218199,-104.979372967
CEDAR GS LIQUOR LLC,CEDAR GS LIQUOR,03-12230,Retail Liquor Store (city,489 5TH AVENUE,Deer Trail,CO,80105,39.61389,-104.041567
"STONE'S THROW WINERY, INC",STONE THROW WINERY INC,03-11839,Winery Direct Shipper's Permit,3382 COUNTY ROAD E,Baileys Harbor,WI,54202,45.054573,-87.191725023
WFM-WO INC,WHOLE FOODS MARKET,04-00076,Fermented Malt Beverage and Wine (city,1111 S WASHINGTON STREET,Denver,CO,80210,39.69602301,-104.979920976
,SANCHO TACOS & TEQUILAS,03-01220,Takeout & Delivery Permit,500 SOUTH MAIN ST 2L & 2M,Breckenridge,CO,80424,39.47731598,-106.044601969
CHEBA HUT INVESTMENT COMPANY INC.,CHEBA HUT,03-14459,Hotel & Restaurant (city,14505 EAST ALAMEDA AVENUE UNIT D,Aurora,CO,80012,39.71220428,-104.818854325
FORTUNE NONG JIA LE INC,FORTUNE NONG JIA LE,03-20454,Hotel & Restaurant (city,500 E ALAMEDA AVE,Denver,CO,80209,39.710919,-104.981134005
"FAMILY DOLLAR STORES OF COLORADO, LLC",FAMILY DOLLAR #25949,04-01784,Fermented Malt Beverage and Wine (city,130 SOUTH DENVER AVANUE,Fort Lupton,CO,80621,40.079552,-104.810089033
SOLO GAS LLC,SOLO GAS,04-01096,Fermented Malt Beverage and Wine (city,2690 SOUTH MONACO PARKWAY,Denver,CO,80222,39.66797901,-104.912369039
MICASA II LLC,MICASA MEXICAN RESTAURANT & CANTINA,03-18424,Takeout & Delivery Permit,600 SOUTH PARK AVENUE,Breckenridge,CO,80424,39.47766798,-106.046284971
BROADMOOR HOTEL INC.,THE BROADMOOR FISHING CAMP,03-04376,Optional Premises (county,20922 COUNTY ROAD 77,Lake George,CO,80827,39.19375,-105.548253993
EXTANT BREWING COMPANY LLC,RIVER NORTH BREWERY,03-09136,Wholesale Beer (malt liquor,3400 BLAKE STREET,Denver,CO,80205,39.76747501,-104.976896031
COLORADO MTN JUNIOR COLLEGE DISTRICT,COLORADO MOUNTAIN COLLEGE,04-14561-0009,Hotel & Restaurant (city,107 DENISON PLACER RD,Breckenridge,CO,80424,39.513933,-106.051056034
BOGEYS LLC,CASABLANCA WINE & SPIRITS,28-73929-0000,Retail Liquor Store (city,6765 W 120TH AVE UNIT B3,Broomfield,CO,800200301,39.91526401,-105.069614968
CONNECTION RESTAURANT GROUP LLC,UNION,41-93858-0001,Hotel & Restaurant (city,3 WILCOX STREET,Castle Rock,CO,80104,39.36941599,-104.860387996
TAPIARRAS LLC,TAPIARRAS,03-12820,Tavern (city,2215 9TH STREET,Greeley,CO,80634,40.424298,-104.715131039
KUM & GO LC,MAVERIK 5339,04-01271,Fermented Malt Beverage and Wine (city,7450 FEDERAL BOULEVARD,Westminster,CO,80030,39.83210602,-105.024226962
SAGE RESTAURANT MANAGER LLC,"HOTEL CLIO, A LUXURY COLLECTION HOTEL, DENVER CHERRY CREEK",42-41337-0000,Hotel & Restaurant (city,150 CLAYTON LANE,Denver,CO,802065675,39.71874698,-104.955292011
FRATERNAL ORDER OF EAGLES #4471,FRATERNAL ORDER OF EAGLES AERIE #4471,42-28937-0001,Tavern (county,348 SOUTH MCCULLOCH BOULELVARD,Pueblo West,CO,81007,38.32082801,-104.746500982
LITTLETON GUNTHER TOODY'S LLC,GUNTHER TOODY'S DINER,03-16067,Hotel & Restaurant (county,8266 WEST BOWLES AVENUE,Littleton,CO,80123,39.60681798,-105.090798971
SUNCOR ENERGY SALES INC,SHELL #34,04-01134,Fermented Malt Beverage and Wine (city,1850 SOUTH WADSWORTH,Lakewood,CO,80232,39.68425901,-105.08105702
DRURY COLO. SPRINGS LLC & DRURY HOTELS CO. LLC,DRURY INN & SUITES - COLORADO SPRINGS,03-04570,Lodging & Entertainment (City,1170 INTERQUEST PARKWAY,Colorado Springs,CO,80921,38.99267401,-104.808719011
Luca d'Italia,LUCA D'ITALIA,41-15270-0000,Takeout & Delivery Permit,711 GRANT STREET,Denver,CO,802033508,39.72748801,-104.983977985
COLTERRIS LLC,COLTERRIS WINERY/COLTERRIS WINES,42-80284-0001,Limited Winery,3907 NORTH RIVER ROAD,Palisade,CO,81526,39.11415,-108.325922996
UNCLE STUBBY'S PUB LLC,COUSIN PAT'S PUB & GRILL,03-07585,Takeout & Delivery Permit,451 SOUTH SAINT VRAIN AVENUE,Estes Park,CO,80517,40.371325,-105.506758963
J WILLETT COMPANIES,TYLER WINERY,03-02728,Winery Direct Shipper's Permit,300 N 12TH ST  UNIT 4A,Lompoc,CA,93436,34.64303199,-120.435269997
EQUINOX BREWING COMPANY INC,EQUINOX BREWING COMPANY INC,25-54716-0001,Manufacturer (brewery,133 REMINGTON STREET,FT COLLINS,CO,805242833,40.586346,-105.075866024
BACA GEORGE HENRY,SAM'S PLACE,26-44750-0000,Tavern (county,23397 HWY 12,Trinidad,CO,81082,37.123069,-104.731956033
HAGANE INC,SAKANA,03-03339,Hotel & Restaurant (city,7520 SHERIDAN BLVD,Westminster,CO,80003,39.83321901,-105.052698024
LA GRANJA LLC,THE GRAINERY,03-18628,Tavern (county,26681 US HIGHWAY 36,Idalia,CO,80735,39.70244586,-102.297023603
MKM HOSPITALITY LLC,MID COUNTY LIQUORS,03-15902,Retail Liquor Store (county,17218 HIGHWAY 119,Black Hawk,CO,80422,39.88678101,-105.473498984
DA' GRIND SPORTSBAR LLC,DA' GRIND SPORTSBAR,03-19157,Beer & Wine (city,7850 S CR 5,Windsor,CO,80528,40.47501999,-104.981612025
CF ALTITUDE LLC,ALTA #6127,04-01475,Fermented Malt Beverage and Wine (city,1502 HOWARD STREET,Delta,CO,81416,38.72799326,-108.066306519
YAMPA VALLEY BREWING COMPANY LLC,YAMPA VALLEY BREWING COMPANY,03-12345,Manufacturer (brewery,200 NORTH WALNUT STREET,Hayden,CO,81639,40.49649598,-107.257975995
EVERYDAY STORES LLC,EVERYDAY 5723,04-01309,Fermented Malt Beverage and Wine (city,900 KEN PRATT BOULEVARD,Longmont,CO,80501,40.152731,-105.107709963
"SPARGE BREWING, LLC","SPARGE BREWING, LLC",03-10734,Wholesale Beer (malt liquor,"3999 GW BUSCH AVENUE, UNIT A",Wellington,CO,80549,40.68203498,-105.001756002
PARRY'S PIZZA,PARRY'S PIZZA,03-04458,Takeout & Delivery Permit,"100 EAST 120TH, UNIT F-110",Northglenn,CO,80233,39.91371499,-104.986287032
"WHITEWATER BAR AND GRILL, INC",WHITEWATER BAR & GRILL,15-41836-0000,Takeout & Delivery Permit,45045 HWY 50 WEST,Canon City,CO,81212,38.496197,-105.321291438
DILLON COMPANIES LLC,DESIREE ROSE SANDOVAL,03-11677,Manager Permit (LLDS,1076 CORONADO PARKWAY SOUTH,Denver,CO,80229,39.84501499,-104.973731025
PARK BURGER HIGHLANDS INC,PARK BURGER HIGHLANDS,42-88274-0000,Hotel & Restaurant (city,2643 W 32ND AVE,Denver,CO,80211,39.76221302,-105.019979014
AMERICAN LEGION POST 204 MEMORIAL HOME CORP,AMERICAN LEGION POST JOE P MARTINEZ NO 204,03-15765,Club License (city,4200 PECOS STREET,Denver,CO,80211,39.774463,-105.006214001
IMMERSIVE GROUP GAMING CO LLC,IMMERSIVE GAMEBOX,03-18032,Lodging & Entertainment (City,825 NORTH ALBION STREET,Denver,CO,80220,39.72968201,-104.940027979
CRUISERS INC,CRUISERS INC,03-06054,Tavern (city,1020 28TH AVENUE #109 B,Greeley,CO,80634,40.42178799,-104.724775005
LA VETA LIQUORS LLC,LA VETA LIQUORS,03-20667,Retail Liquor Store (city,105 WEST FRANCISCO STREET,La Veta,CO,81055,37.50786701,-105.009608001
1469 GURU NANAK CORP.,COLUMBINE DISCOUNT WINE & SPIRITS,03-11904,Delivery Permit,7600 SOUTH PIERCE STREET,Littleton,CO,80128,39.57848908,-105.072755677
SAL INC,FIESTA GUADALAJARA-GJ,28-36913-0000,Takeout & Delivery Permit,710 NORTH AVE,Grand Junction,CO,815013103,39.077673,-108.560679987
PETES 3-0 INC,PETES 3-0,03-20504,Retail Liquor Store (city,1560 NORTH AVENUE SUITE A,Grand Junction,CO,81501,39.077629,-108.546711965
PARKSIDE SPECIALTY WINE & SPIRITS LLC,PARKSIDE SPECIALTY WINE & SPIRITS,03-15944,Retail Liquor Store (city,14565 EAST ALAMEDA AVENUE SUITE A,Aurora,CO,80012,39.7122373,-104.817971543
WILD GINGER THAT RESTAURANT INC,WILD GINGER THAI RESTAURANT,03-04600,Hotel & Restaurant (city,2628 WEST COLORADO AVENUE,Colorado Springs,CO,80904,38.84917,-104.865097033
RED SWING BREWHOUSE,RED SWING BREWHOUSE,03-13158,Wholesale Beer (malt liquor,521 SOUTH TEJON STREET,Colorado Springs,CO,80903,38.82602899,-104.823617006
CCP LIQUOR CORP,REX LIQUORS,03-07873,Retail Liquor Store (city,2294 SOUTH BROADWAY,Denver,CO,802104419,39.67501801,-104.987309037
STIR COFFEE & COCTAILS DOWNTOWN LLC,STIR COFFEE & COCKTAILS DOWNTOWN,03-18396,Hotel & Restaurant (city,101 NORTH TEJON STREET SUITE 103,Colorado Springs,CO,80903,38.83564601,-104.823226996
EJNLOVE LLC,BOARD AND BRUSH,03-18343,Beer & Wine (city,10490 DRANSFELDT ROAD UNIT 104,Parker,CO,80134,39.52596501,-104.770541035
"GUZMAN, JOYCE",ROSE CAFE,03-13662,Hotel & Restaurant (city,940 GODDARD AVENUE,Ignacio,CO,81137,37.111082,-107.633049985
CHOAT ENTEPRISES LLC,SYLWA'S LIQUOR,26-68044-0000,Retail Liquor Store (city,105 WEST GOFF,Granada,CO,81041,38.062828,-102.311081012
CRYSTOLA BY COS LLC,CRYSTOLA STEAKHOUSE,03-18553,Hotel & Restaurant (county,20918 US HWY 24,Woodland Park,CO,80863,38.95611298,-105.028269973
THE OPUS HUT LLC,OPUS HUT,03-18846,Tavern (county,3660 COUNTY ROAD 8,Silverton,CO,81433,37.84828737,-107.767624392
S&S ERIE LLC,SCISSORS & SCOTCH,03-19045,Tavern (city,680 MITCHELL WAY,Erie,CO,80516,40.03468577,-105.054296766
TIRRIDDIS LLC,TIRRIDDIS SPARKLING WINES,03-19030,Winery Direct Shipper's Permit,2880 LEE ROAD SUITE B,Prosser,WA,99350,46.21887501,-119.728761976
"VICTOR'S SUSHI, LLC",VICTOR'S SUSHI,03-14326,Hotel & Restaurant (city,207 CLAYTON STREET,Brush,CO,80723,40.255621,-103.622836035
MALU INC,SINGER'S LIQUOR,03-14799,Retail Liquor Store (city,3649 WEST 44TH AVENUE,Denver,CO,80211,39.77701801,-105.035477991
IRON TREE LTD,FUNKY TOWN BREWERY,03-18555,Brew Pub (county,37 COSTELLO AVENUE,Florissant,CO,80816,38.94667898,-105.289635987
THE 4 SPIRITS GUIDES CORP,SWIG TAVERN,03-10472,Tavern (city,11810 WEST COLFAX AVENUE,Lakewood,CO,80215,39.73987101,-105.13096899
CLAY STREET IMPORTS LLC,CLAY STREET IMPORTS,03-15236,Importer (malt liquor,7869 PARAMOUNT BLVD SUITE A,Pico Rivera,CA,90660,33.97482198,-118.112992979
BUCKEL FAMILY WINE LLC,BUCKEL FAMILY WINE,03-09994,Winery Direct Shipper's Permit,1018 HWY 135 UNIT B,Gunnison,CO,81230,38.559109,-106.925618028
RED LION THE,RED LION THE,03-91057-0000,Takeout & Delivery Permit,304 BRIDGE ST,Vail,CO,816574531,39.64024602,-106.373320011
FIRST WATCH RESTAURANTS INC,FIRST WATCH RESTAURANT #421,03-16218,Hotel & Restaurant (city,2525 NORTH LINCOLN AVENUE,Loveland,CO,80538,40.41837602,-105.073714976
LOS BERNAL LLC,CHATO'S MEXICAN RESTAURANT,26-66122-0000,Hotel & Restaurant (city,230 COUNTRY CENTER DR,Pagosa Springs,CO,81147,37.25640798,-107.074798973
COOPER CULINARY ENTERPRISES,COOPER'S ON THE CREEK,03-06112,Hotel & Restaurant (city,1500 ARGENTINE STREET,Georgetown,CO,80444,39.71506728,-105.695074707
"PEGASUS RINO OWNER, LLC",THE CATBIRD HOTEL,03-14633,Takeout & Delivery Permit,3770 WALNUT STREET,Denver,CO,80205,39.769566,-104.972363014
COYOTE MEZCALERLA Y CERVECERIA LLC,COYOTE MEZCALERLA Y CERVECERIA,03-20653,Tavern (city,801 FRONT LOOP UNIT 1A,Buena Vista,CO,81211,38.84182917,-106.118946976
DELEGAT USA INC,DELEGAT USA INC,28-62705-0000,Importer (vinous & spirituous,555 MISSION STREET SUITE 2625,San Francisco,CA,94105,37.78853298,-122.398564016
